,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,63.763,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
1,2017,64.13,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
2,2018,64.486,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
3,2019,64.833,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
4,2016,78.194,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2017,78.333,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
6,2018,78.458,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2019,78.573,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2016,76.298,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2017,76.499,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
10,2018,76.693,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
11,2019,76.88,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
12,2016,59.925,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
13,2017,60.379,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
14,2018,60.782,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
15,2019,61.147,SP.DYN.LE00.IN,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
16,2016,76.617,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
17,2017,76.752,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
18,2018,76.885,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
19,2019,77.016,SP.DYN.LE00.IN,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
20,2016,76.221,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
21,2017,76.372,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
22,2018,76.52,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
23,2019,76.667,SP.DYN.LE00.IN,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
24,2016,74.64,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
25,2017,74.797,SP.DYN.LE00.IN,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
